Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
10/03/2025;INSERTITEM;TL57335;Makita VC4210M Staubsauger für Staubklasse, 1200 W, 230 V;3128006;INVTRANS;0;DKS1;;;;;;;;;TECH-TOOL;;;0;0;;;
10/03/2025;INSERTITEM;TL57335;Makita VC4210M Staubsauger für Staubklasse, 1200 W, 230 V;3128007;INVTRANS;0;DKR1;;;;;;;;;TECH-TOOL;;;0;0;;;
10/03/2025;SHIPTRANSFER;13781;OmniDrive 2093-$;221874;MATRECTRANS;1;DKR1;;DKR1;;;;41164;;;TECH-TOOL;;;0;0;PPO1;;
10/03/2025;STAGETRANSFER;ITM1113;Filter mat G4/EU4 220 x 290 x 24mm;221875;MATRECTRANS;17;DKS1;DKS1F11302;DKS1;DKS1F11302;;;41367;;SparePart;LC;;;1;17;DKS1;;
10/03/2025;STAGETRANSFER;ITM1113;Filter mat G4/EU4 220 x 290 x 24mm;221876;MATRECTRANS;83;DKS1;DKS1F11302;DKS1;DKS1F11302;;;41367;;SparePart;LC;;;1;83;DKS1;;
10/03/2025;ISSUE;55320;Deutz Öl Rodon 10W40 Low SAPS 20 L.Kanister;141232;MATUSETRANS;-24;IAS1;;;;ORT1019;;41363;WO1923389;Lubricant;TECH-CONS;PM-FS;;4,33;103,92;IAS1;494-531;NEW
10/03/2025;ISSUE;ITM2219;Kraftstofffilter;141233;MATUSETRANS;-2;IAS1;;;;ORT1019;;41363;WO1923389;SparePart;FA;PM-FS;;45,6;91,2;IAS1;494-531;NEW
10/03/2025;ISSUE;ITM2220;Papierpatrone;141234;MATUSETRANS;-1;IAS1;;;;ORT1019;;41363;WO1923389;SparePart;FA;PM-FS;;100;100;IAS1;494-531;NEW
10/03/2025;TRANSFER;15151;MANN filter element CU14200;222580;MATRECTRANS;1;SHA1;SHA1S41101;SHA1;SHA1W11305;;;;;SparePart;QA;;;24,85;24,85;SHA1;;
10/03/2025;ISSUE;ITM3890;Waschflüssigkeit T-blue Kemethyl mit Frostschutz 205L Fass;140961;MATUSETRANS;-5;SHA1;;;;ORT1041;;41365;WO1916465;Lubricant;TECH-CONS;PM-FS;;3,46;17,3;SHA1;243-110;NEW
10/03/2025;ISSUE;15150;Filtermatte Klimagerät, 332x216x24mm;140962;MATUSETRANS;-2;SHA1;;;;ORT1041;;41365;WO1916465;SparePart;LC;PM-FS;;1;2;SHA1;243-110;NEW
10/03/2025;ISSUE;29225;Winter Carbon Strips SK1810-SK85W- Int HCCS-C, Schunk;140963;MATUSETRANS;-2;SHA1;;;;ORT1041;;41365;WO1916465;SparePart;FB;PM-FS;;307,49;614,98;SHA1;243-110;NEW
10/03/2025;TRANSFER;29200;Bedienfeld Zug/Bremskraft;221877;MATRECTRANS;1;VZL1;DKS1G08103;VZL1;Railpool Lokservice Hamburg Altenwerder;;;41368;;SparePart;GC;;;2462,3;2462,3;DKS1;;
10/03/2025;ISSUE;28823;Barre de court circuit, LOCMAFER;141445;MATUSETRANS;-1;FOS1;;;;ORT1465;;41369;WO1848972;SparePart;HD;REVI-SO;;0;0;FOS1;BB27133;NEW
10/03/2025;ISSUE;28823;Barre de court circuit, LOCMAFER;141446;MATUSETRANS;-1;FOS1;;;;ORT1465;;41369;WO1848972;SparePart;HD;REVI-SO;;0;0;FOS1;BB27133;NEW
10/03/2025;ISSUE;ITM1979;1238086-Vis H M8-30;141447;MATUSETRANS;-2;FOS1;;;;;;;WO1848972;SmallPart;MA;REVI-SO;;0,16;0,32;FOS1;BB27133;NEW
10/03/2025;ISSUE;29004;Torche flamme rouge 8 minutes, Alsetex;141448;MATUSETRANS;-4;FOS1;;;;;;;WO1848972;SparePart;JD;REVI-SO;;132,67;530,68;FOS1;BB27133;NEW
10/03/2025;ISSUE;28827;Cale double en Polyuréthane avec support fanion, LOCMAFER;141449;MATUSETRANS;-1;FOS1;;;;;;;WO1848972;SparePart;DF;REVI-SO;;66,35;66,35;FOS1;BB27133;NEW
10/03/2025;ISSUE;ITM4942;Traverse 3,6kV-2000A (TFP);141450;MATUSETRANS;-1;FOS1;;;;;;;WO1883125;SparePart;MA;REVI-SO;;1640,5;1640,5;FOS1;BB27140;NEW
10/03/2025;ISSUE;ITM3912;1206000008-Joint (EV21C) 2 trous;141451;MATUSETRANS;-1;FOS1;;;;;;;WO1950189;SmallPart;MA;CM-FS;;9,05;9,05;FOS1;BB27146;NEW
10/03/2025;ISSUE;41839;Electrovalve de commutation VE-SR - Inclus dans 45, ALSTOM;141452;MATUSETRANS;-1;FOS1;;;;;;;WO1950189;SparePart;ZZ;CM-FS;;515;515;FOS1;BB27146;NEW
10/03/2025;ISSUE;ITM2028;1253638-Rondelle Grower M8;141453;MATUSETRANS;-2;FOS1;;;;;;;WO1950189;SmallPart;MA;CM-FS;;0,02;0,04;FOS1;BB27146;NEW
10/03/2025;ISSUE;ITM5255;Vis tête cylindrique bombée M8x20;141454;MATUSETRANS;-2;FOS1;;;;;;;WO1950189;SmallPart;MA;CM-FS;;0,07;0,14;FOS1;BB27146;NEW
10/03/2025;ISSUE;55448;Filtre à air caisson évaporateur, SF-FILTRES;141455;MATUSETRANS;-3;FOS1;;;;;;;WO1950189;SparePart;HE;CM-FS;;22,17;66,51;FOS1;BB27146;NEW
10/03/2025;ISSUE;55448;Filtre à air caisson évaporateur, SF-FILTRES;141458;MATUSETRANS;-1;FOS1;;;;;;;WO1950189;SparePart;HE;CM-FS;;22,17;22,17;FOS1;BB27146;NEW
10/03/2025;ISSUE;42134;FILTRE CU1/140X140X12G3, SF- FILTRES;141456;MATUSETRANS;-2;FOS1;;;;;;;WO1950189;SparePart;MA;CM-FS;;12,38;24,76;FOS1;BB27146;NEW
10/03/2025;ISSUE;55067;Plateau de siege conducteur, GRAMMER;141457;MATUSETRANS;-1;FOS1;;;;;;;WO1950189;SparePart;ZZ;CM-FS;;255;255;FOS1;BB27146;NEW
10/03/2025;TRANSFER;27404;Stromrichterpumpe (PRIMA Lok);222277;MATRECTRANS;1;FOS1;;FOS1;FOS1C02401;;;;;SparePart;FD;;REPAIRED;0;0;;;
10/03/2025;ISSUE;41964;CONSOLE CONFIGUREE 2U;141459;MATUSETRANS;-1;FOS1;;;;ORT1576;;41371;WO1947400;SparePart;GC;CM-FS;;1800;1800;FOS1;BB27146;NEW
10/03/2025;ISSUE;31603;RELAIS Q(T)RH, ALSTOM;141460;MATUSETRANS;-1;FOS1;;;;;;;WO1956156;SparePart;FA;CM-FS_ADD;;1655;1655;FOS1;BB27111;NEW
10/03/2025;ISSUE;14377;Batterieladegerät BLG TRAXX 3P, Pintsch Bamag;141341;MATUSETRANS;-1;DKR1;;;;;;;WO1903305;SparePart;HC;REVI-FS;;2420;2420;DKR1;186-018;
10/03/2025;TRANSFER;27404;Stromrichterpumpe (PRIMA Lok);222278;MATRECTRANS;1;FOS1;;FOS1;FOS1C02401;;;;;SparePart;FD;;REPAIRED;0;0;;;
10/03/2025;ISSUE;13443;Filtermatte für Fahrmotorlüfter (Grün);141461;MATUSETRANS;-2;HKO1;;;;;;;WO1921556;SparePart;HE;PM-FS;;1,07;2,14;HKO1;285-109;NEW
10/03/2025;ISSUE;13443;Filtermatte für Fahrmotorlüfter (Grün);141470;MATUSETRANS;-2;HKO1;;;;;;;WO1921556;SparePart;HE;PM-FS;;1,07;2,14;HKO1;285-109;NEW
10/03/2025;ISSUE;13620;Filtermatte Klimagerät, 290x650x22mm;141462;MATUSETRANS;-2;HKO1;;;;;;;WO1921556;SparePart;LC;PM-FS;;1,9;3,8;HKO1;285-109;NEW
10/03/2025;ISSUE;56235;Filterelement;141463;MATUSETRANS;-1;HKO1;;;;;;;WO1921556;SparePart;QA;PM-FS;;59;59;HKO1;285-109;NEW
10/03/2025;ISSUE;30221;Shell Rimula R6LM 10W40 / Fût 209L, SHELL;141464;MATUSETRANS;-20;HKO1;;;;;;;WO1921556;Lubricant;TECH-CONS;PM-FS;;4,28;85,6;HKO1;285-109;NEW
10/03/2025;ISSUE;55425;Kraftstofffilterpatrone Vorwärmanlage 350.126;141465;MATUSETRANS;-1;HKO1;;;;;;;WO1921556;SparePart;QC;PM-FS;;19,55;19,55;HKO1;285-109;NEW
10/03/2025;ISSUE;55423;Brennstoffdüse 35kw;141466;MATUSETRANS;-1;HKO1;;;;;;;WO1921556;SparePart;ZZ;PM-FS;;21,25;21,25;HKO1;285-109;NEW
10/03/2025;ISSUE;55427;Zündelektrode Webasto Thermo 350.126;141467;MATUSETRANS;-1;HKO1;;;;;;;WO1921556;SparePart;FF;PM-FS;;8,07;8,07;HKO1;285-109;NEW
10/03/2025;ISSUE;14242;SABESTO Pflege- und Gleitspray 300ml, Würth;141468;MATUSETRANS;-1;HKO1;;;;;;;WO1921556;Lubricant;TECH-CONS;PM-FS;;9,97;9,97;HKO1;285-109;NEW
10/03/2025;ISSUE;56332;KLIMAANLAGEN-SPRAY;141469;MATUSETRANS;-1;HKO1;;;;;;;WO1921556;Lubricant;HE;PM-FS;;13,61;13,61;HKO1;285-109;NEW
10/03/2025;ISSUE;13443;Filtermatte für Fahrmotorlüfter (Grün);141235;MATUSETRANS;-4;DKR1;;;;ORT1081;;41223;WO1952727;SparePart;HE;PM-FS;;1,07;4,28;DKR1;241-007;NEW
10/03/2025;ISSUE;13620;Filtermatte Klimagerät, 290x650x22mm;141236;MATUSETRANS;-2;DKR1;;;;ORT1081;;41223;WO1952727;SparePart;LC;PM-FS;;1,9;3,8;DKR1;241-007;NEW
10/03/2025;TRANSFER;56592;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);222279;MATRECTRANS;2;PPO1;;PPO1;Schleifleistenregal;;;41374;;SparePart;FB;;;715,08;1430,16;MARCIN.LIPINSKI-ST;;
10/03/2025;INSERTITEM;13919;Umwälzpumpe Trafokühlung B2/123/80ES;3127903;INVTRANS;0;DTA1;;;;;;;;SparePart;HE;;;0;0;;;
10/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;222280;MATRECTRANS;2;PPO1;;PPO1;;;;41377;;SparePart;FB;;;279,39;558,78;MARCIN.LIPINSKI-ST;;
10/03/2025;SHIPTRANSFER;13919;Umwälzpumpe Trafokühlung B2/123/80ES;222581;MATRECTRANS;1;DTA1;DKR1A03303;DTA1;DTA1000EIN;;;41372;;SparePart;HE;;;295,2;295,2;DKR1;;
10/03/2025;STAGETRANSFER;12806;Dosier-Pumpe DP-P G1/4, 10bar;222149;MATRECTRANS;1;PPO1;2A4;PPO1;2A4;;;41191;;SparePart;MC;;REPAIRED;0;0;PPO1;;
10/03/2025;TRANSFER;56592;Schleifstück SK1091-SK85ACu BöKleb, Schunk (PL);222281;MATRECTRANS;2;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378;;SparePart;FB;;;715,08;1430,16;PPO1;;
10/03/2025;TRANSFER;12639;Kohleschleifstück SK745 SK85W (D) mit 90°-Enden;222282;MATRECTRANS;2;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378;;SparePart;FB;;;93,67;187,34;PPO1;;
10/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;222283;MATRECTRANS;1;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378;;SparePart;FB;;;279,39;279,39;PPO1;;
10/03/2025;TRANSFER;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;222284;MATRECTRANS;3;MICHAL.NAWROT-ST;Schleifleistenregal;MICHAL.NAWROT-ST;;;;41378;;SparePart;FB;;;288;864;PPO1;;
10/03/2025;INSERTITEM;12639;Kohleschleifstück SK745 SK85W (D) mit 90°-Enden;3127531;INVTRANS;0;MICHAL.NAWROT-ST;;;;;;;;SparePart;FB;;;0;0;;;
10/03/2025;INSERTITEM;12640;Kohleschleifstück SK835 SK85Cu (NL) mit 15°-Enden;3127532;INVTRANS;0;MICHAL.NAWROT-ST;;;;;;;;SparePart;FB;;;0;0;;;
10/03/2025;SHIPRECEIPT;44484;Schlauchleitung 700mm, Rensmann;222150;MATRECTRANS;2;VZL1;H2;VZL1;Cargo a.s SOKV Budejovice;;;41167;;SparePart;QE;;;125;250;PPO1;;
