Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode;
14/03/2025;RETURN;14448;Relaisplatine GI8.1_A3;142485;MATUSETRANS;1;VZL1;;;;ORT1622;;41669;WO1959311;SparePart;FA;CM-FS;NEW;854,19;-854,19;VZL1;189-457;NEW;TRUE
14/03/2025;SHIPRECEIPT;ITM4260;Cu-Stromband 02940-C-S mm² GL. 190 mm;225617;MATRECTRANS;20;DTA1;DKR1E16105;DTA1;;;;35995;;SparePart;DAR;;;28,9;578;DKR1;;;FALSE
14/03/2025;VOIDSHIPRECEIPT;ITM4260;Cu-Stromband 02940-C-S mm² GL. 190 mm;225618;MATRECTRANS;-20;DTA1;DKR1E16105;DTA1;;;;35995;;SparePart;DAR;;;28,9;-578;DKR1;;;FALSE
14/03/2025;SHIPRECEIPT;ITM4260;Cu-Stromband 02940-C-S mm² GL. 190 mm;225619;MATRECTRANS;20;DTA1;DKR1E16105;DTA1;;;;35995;;SparePart;DAR;;;28,9;578;DKR1;;;FALSE
14/03/2025;TRANSFER;ITM4260;Cu-Stromband 02940-C-S mm² GL. 190 mm;225620;MATRECTRANS;20;DKR1;;DKR1;DKR1E16105;;;41670;;SparePart;DAR;;;28,9;578;DTA1;;;FALSE
14/03/2025;ISSUE;13252;Osram Halogen-Glühlampe 70W 24V H1;142486;MATUSETRANS;-1;PPO1;;;;;;;WO1959311;SparePart;KA;CM-FS;;0,65;0,65;PPO1;189-457;NEW;TRUE
14/03/2025;SHIPRECEIPT;13408;Bremsanzeige-EP Dose Komplett;225621;MATRECTRANS;1;DTA1;DKR1E17110;DTA1;DTA1000EIN;;;39495;;SparePart;JC;;;414,53;414,53;DKR1;;;FALSE
14/03/2025;SHIPRECEIPT;13596;Sandungsanlage SDN14-1 220VAC 100W;225622;MATRECTRANS;1;DTA1;DKS1C13102;DTA1;DTA1000EIN;;;41083;;SparePart;MB;;NEW;629,4;629,4;DKS1;;;FALSE
14/03/2025;TRANSFER;13408;Bremsanzeige-EP Dose Komplett;225623;MATRECTRANS;1;DKR1;DTA1000EIN;DKR1;DKR1E05303;;;41671;;SparePart;JC;;REPAIRED;414,53;414,53;DTA1;;;FALSE
14/03/2025;ISSUE;12563;Schraubenkupplung vollständig 850kN, inkl. Neulackierung in RAL9005;142487;MATUSETRANS;-1;DTA1;;;;;;;WO1913488;SparePart;SA;REVI-FS;;288,18;288,18;DTA1;185-636;NEW;TRUE
14/03/2025;ISSUE;12563;Schraubenkupplung vollständig 850kN, inkl. Neulackierung in RAL9005;142488;MATUSETRANS;-1;DTA1;;;;;;;WO1913488;SparePart;SA;REVI-FS;;288,18;288,18;DTA1;185-636;NEW;TRUE
