Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
16/03/2025;ISSUE;27456;Filtermatte FM Viledon P15 195x170mm;142529;MATUSETRANS;-4;HKO1;;;;;;;WO1933779;SparePart;QA;PM-FS;;1,1;4,4;HKO1;285-103;NEW
16/03/2025;ISSUE;13620;Filtermatte Klimagerät, 290x650x22mm;142530;MATUSETRANS;-2;HKO1;;;;;;;WO1933779;SparePart;LC;PM-FS;;1,9;3,8;HKO1;285-103;NEW
16/03/2025;ISSUE;13250;Osram Halogen-Glühlampe 21W 24V BAY9s;142531;MATUSETRANS;-2;HKO1;;;;;;;WO1933779;SparePart;KA;PM-FS;;4,06;8,12;HKO1;285-103;NEW
16/03/2025;ISSUE;56177;Destilliertes Wasser 5 L.;142532;MATUSETRANS;-15;HKO1;;;;;;;WO1933779;Lubricant;TECH-CONS;PM-FS;;0,45;6,75;HKO1;285-103;NEW
16/03/2025;ISSUE;28028;Scheibenreiniger mit Frostschutz, im 5,0l Kanister;142533;MATUSETRANS;-5;HKO1;;;;;;;WO1933779;Lubricant;TECH-CONS;PM-FS;;2,01;10,05;HKO1;285-103;NEW
16/03/2025;ISSUE;14240;Bremsbelag-Paar  BECORIT B36 400cm²x24mm;142534;MATUSETRANS;-4;HKO1;;;;;;;WO1933779;SparePart;RB;PM-FS;;48,96;195,84;HKO1;285-103;NEW
16/03/2025;ISSUE;17066;Fehlerstromschutzschalter Typ A, FI25/0,03-2;142535;MATUSETRANS;-1;HKO1;;;;;;;WO1947615;SparePart;JB;CM-FS;;67,7;67,7;HKO1;285-103;NEW
16/03/2025;ISSUE;13458;Interpolationselektronik;142536;MATUSETRANS;-1;HKO1;;;;;;;WO1947613;SparePart;FA;CM-FS;;105;105;HKO1;285-103;NEW
16/03/2025;ISSUE;13458;Interpolationselektronik;142537;MATUSETRANS;-1;HKO1;;;;;;;WO1947613;SparePart;FA;CM-FS;;105;105;HKO1;285-103;NEW
16/03/2025;ISSUE;13004;Temperaturfühler Außentemperatur PT100;142540;MATUSETRANS;-1;HKO1;;;;;;;WO1796303;SparePart;GE;PM-FS;;162,1;162,1;HKO1;285-106;NEW
16/03/2025;ISSUE;13620;Filtermatte Klimagerät, 290x650x22mm;142541;MATUSETRANS;-2;HKO1;;;;;;;WO1796303;SparePart;LC;PM-FS;;1,9;3,8;HKO1;285-106;NEW
16/03/2025;ISSUE;27456;Filtermatte FM Viledon P15 195x170mm;142542;MATUSETRANS;-4;HKO1;;;;;;;WO1796303;SparePart;QA;PM-FS;;1,1;4,4;HKO1;285-106;NEW
