Date;TransType;Item;Description;TransID;TableSource;Qty;OriginalStoreroom;OriginalBin;ToStoreroom;ToBin;Location;PoNumber;InventoryUsage ;WorkOrder;ItemType;ItemCommCodes;WOCommGroup ;ConditionCode;ActualCost;LineCost;FromStoreroom;TopAsset;AssetConCode
2025-03-10;INSERTITEM;TL57335;Makita VC4210M Staubsauger für Staubklasse, 1200 W, 230 V;3128006.0;INVTRANS;0.0;DKS1;;;;;;;;Unknown;TECH-TOOL;;;0;0;;;
2025-03-10;INSERTITEM;TL57335;Makita VC4210M Staubsauger für Staubklasse, 1200 W, 230 V;3128007.0;INVTRANS;0.0;DKR1;;;;;;;;Unknown;TECH-TOOL;;;0;0;;;
2025-03-10;SHIPTRANSFER;13781_ITEM;OmniDrive 2093-$;221874.0;MATRECTRANS;1.0;DKR1;;DKR1;;;;41164.0;;Unknown;TECH-TOOL;;;0;0;PPO1;;
2025-03-10;STAGETRANSFER;ITEM1113;Filter mat G4/EU4 220 x 290 x 24mm;221875.0;MATRECTRANS;17.0;DKS1;DKS1F11302;DKS1;DKS1F11302;;;41367.0;;SparePart;LC;;;1;17;DKS1;;
2025-03-10;STAGETRANSFER;ITEM1113;Filter mat G4/EU4 220 x 290 x 24mm;221876.0;MATRECTRANS;83.0;DKS1;DKS1F11302;DKS1;DKS1F11302;;;41367.0;;SparePart;LC;;;1;83;DKS1;;
2025-03-10;ISSUE;55320_ITEM;Deutz Öl Rodon 10W40 Low SAPS 20 L.Kanister;141232.0;MATUSETRANS;-24.0;IAS1;;;;ORT1019;;41363.0;WO1923389;Lubricant;TECH-CONS;PM-FS;;4,33;103,92;IAS1;494-531;NEW
2025-03-10;ISSUE;ITEM2219;Kraftstofffilter;141233.0;MATUSETRANS;-2.0;IAS1;;;;ORT1019;;41363.0;WO1923389;SparePart;FA;PM-FS;;45,6;91,2;IAS1;494-531;NEW
2025-03-10;ISSUE;ITEM2220;Papierpatrone;141234.0;MATUSETRANS;-1.0;IAS1;;;;ORT1019;;41363.0;WO1923389;SparePart;FA;PM-FS;;100;100;IAS1;494-531;NEW
2025-03-10;TRANSFER;15151_ITEM;MANN filter element CU14200;222580.0;MATRECTRANS;1.0;SHA1;SHA1S41101;SHA1;SHA1W11305;;;;;SparePart;QA;;;24,85;24,85;SHA1;;
2025-03-10;ISSUE;ITEM3890;Waschflüssigkeit T-blue Kemethyl mit Frostschutz 205L Fass;140961.0;MATUSETRANS;-5.0;SHA1;;;;ORT1041;;41365.0;WO1916465;Lubricant;TECH-CONS;PM-FS;;3,46;17,3;SHA1;243-110;NEW
